,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,C-PF,24,TOT,47,8,20.8,3.2,6.5,.490,0.4,1.5,.261,2.8,5.0,.557,.520,0.7,1.2,.614,2.4,3.7,6.1,1.3,0.6,0.8,1.0,1.9,7.5
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
2,Precious Achiuwa,PF,24,NYK,22,8,24.5,3.3,6.2,.529,0.2,1.0,.227,3.0,5.2,.588,.548,0.5,0.7,.733,2.9,4.0,7.0,0.7,0.6,1.1,0.9,2.1,7.3
3,Bam Adebayo,C,26,MIA,43,43,34.5,7.6,15.0,.505,0.0,0.3,.091,7.6,14.8,.513,.506,5.0,6.4,.780,2.2,8.3,10.6,4.0,1.0,1.0,2.4,2.5,20.3
4,Ochai Agbaji,SG,23,TOT,53,10,19.6,2.1,5.0,.414,0.9,2.8,.313,1.2,2.2,.543,.502,0.3,0.4,.739,0.7,1.8,2.5,0.9,0.5,0.5,0.7,1.3,5.4
5,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
6,Ochai Agbaji,SG,23,TOR,2,0,18.5,2.0,8.5,.235,0.0,4.0,.000,2.0,4.5,.444,.235,1.0,1.5,.667,1.0,1.0,2.0,0.5,0.5,0.0,1.0,1.5,5.0
7,Santi Aldama,PF,23,MEM,42,16,24.7,4.0,9.3,.429,1.7,5.0,.346,2.3,4.4,.522,.520,0.8,1.4,.603,1.1,4.5,5.6,2.0,0.7,0.7,1.1,1.5,10.5
8,Nickeil Alexander-Walker,SG,25,MIN,53,16,23.0,2.5,5.9,.424,1.4,3.8,.369,1.1,2.0,.528,.545,0.5,0.7,.757,0.4,1.5,1.9,2.6,0.9,0.5,0.9,1.9,6.9
9,Grayson Allen,SG,28,PHO,47,47,32.9,4.3,8.4,.511,2.6,5.2,.490,1.7,3.2,.547,.663,1.6,1.8,.884,0.6,3.4,4.0,3.1,0.9,0.6,1.3,2.1,12.8
10,Jarrett Allen,C,25,CLE,47,47,30.6,6.4,10.0,.645,0.0,0.1,.000,6.4,9.9,.651,.645,2.8,3.7,.747,3.6,7.0,10.6,2.8,0.8,1.2,1.8,2.3,15.6
11,Jose Alvarado,PG,25,NOP,36,0,16.5,2.5,5.9,.418,1.3,3.5,.368,1.2,2.4,.489,.526,0.7,1.0,.676,0.4,1.8,2.1,1.8,1.1,0.3,0.7,1.4,6.9
12,Kyle Anderson,PF,30,MIN,53,2,21.8,2.4,5.1,.469,0.1,0.6,.219,2.3,4.5,.502,.482,1.2,1.8,.681,0.8,2.6,3.4,4.0,0.8,0.5,1.2,1.5,6.1
13,Giannis Antetokounmpo,PF,29,MIL,52,52,35.0,11.5,18.9,.611,0.4,1.8,.250,11.1,17.1,.648,.623,7.3,11.2,.655,2.6,8.8,11.4,6.3,1.4,1.1,3.5,3.0,30.8
14,Thanasis Antetokounmpo,PF,31,MIL,22,0,4.5,0.5,0.9,.500,0.0,0.0,.000,0.5,0.9,.526,.500,0.0,0.0,,0.2,0.2,0.4,0.5,0.1,0.2,0.5,0.9,0.9
15,Cole Anthony,PG,23,ORL,52,0,23.1,4.1,9.4,.432,1.1,3.3,.326,3.0,6.1,.489,.489,2.8,3.3,.838,0.9,3.2,4.1,3.1,0.8,0.4,1.8,2.5,12.0
16,OG Anunoby,SF,26,TOT,41,41,34.1,5.8,11.7,.498,2.1,5.5,.379,3.7,6.1,.606,.588,1.6,2.0,.774,1.0,3.2,4.2,2.3,1.3,0.7,1.5,2.3,15.3
17,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
18,OG Anunoby,SF,26,NYK,14,14,35.7,5.8,11.2,.516,1.8,4.6,.391,4.0,6.6,.602,.596,2.3,2.7,.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6
19,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0
